amount,duration,payments,tenure_at_loan,frequency_bank_statements,inhabitants,no_cities,urban_ratio,avg_salary,avg_unemp_95_96,entr_per_1k,avg_crimes_95_96,min_balance_pre_loan,avg_balance_pre_loan,num_transactions_pre_loan,share_cash_trans,amount_disponents,card_type_at_loan,gender,age_at_loan,result
80952,24,3373,10,"monthly issuance",1204953,1,100,12541,0.36,167,92392.0000,1100,32590.624074074076,54,0.53704,2,"no card",male,48,pass
30276,12,2523,12,"monthly issuance",103347,7,67,9104,1.79,123,2326.5000,715,25197.092499999995,80,0.53750,1,"no card",female,57,fail
30276,12,2523,16,"monthly issuance",228848,6,57.2,9893,4.404999999999999,96,5755.0000,900,62991.26463414633,164,0.64634,1,"no card",male,35,pass
318480,60,5308,13,"monthly issuance",70646,4,58.4,8547,3.145,120,1552.5000,-1011.2,39953.97068965515,116,0.56897,1,"no card",male,46,fail
110736,48,2307,8,"weekly issuance",51428,4,52.7,8402,3.5549999999999997,120,1049.0000,13841,31383.44909090909,55,0.45455,1,"no card",female,58,pass
165960,24,6915,18,"monthly issuance",93931,8,56.9,8427,1.33,107,1893.5000,700,52523.244800000015,125,0.48800,1,"no card",female,51,pass
102876,12,8573,15,"monthly issuance",323870,1,100,10673,5.095000000000001,100,18564.5000,900,33057.37457627118,118,0.50847,2,"no card",male,55,pass
265320,36,7370,20,"monthly issuance",105606,7,53,8254,3.275,97,2245.5000,379,46266.57469879515,83,0.75904,1,"no card",male,30,fail
352704,48,7348,16,"monthly issuance",103347,7,67,9104,1.79,123,2326.5000,800,30797.48750000001,56,0.73214,1,classic,female,47,pass
162576,36,4516,13,"monthly issuance",159617,9,85.2,9198,3.805,131,5964.0000,900,46148.29761904762,84,0.64286,1,"no card",male,44,pass
88440,12,7370,5,"issuance after transaction",128118,8,85.3,9317,6.78,97,6910.5000,200,62778.09032258065,31,0.80645,2,"no card",female,51,pass
104808,12,8734,6,"monthly issuance",125832,5,48.3,8512,3.815,102,2175.0000,500,38709.83,30,0.56667,2,"no card",male,54,pass
27456,12,2288,7,"weekly issuance",161227,10,69.7,8678,5.75,102,4787.5000,800,48780.095999999976,75,0.69333,1,"no card",male,29,pass
109344,12,9112,16,"monthly issuance",285387,7,89.9,10177,7.1899999999999995,81,9993.0000,1000,48376.25806451615,93,0.67742,1,classic,female,53,pass
160920,36,4470,11,"monthly issuance",85852,4,59.8,8965,7.655,104,2737.5000,700,51649.39830508475,59,0.47458,1,classic,male,27,pass
123696,48,2577,11,"monthly issuance",124605,8,46,8772,4.835000000000001,126,3006.0000,300,49084.38196721313,61,0.63934,1,"no card",male,54,pass
112752,36,3132,22,"monthly issuance",161227,10,69.7,8678,5.75,102,4787.5000,900,44659.64961240311,129,0.69767,1,"no card",female,42,pass
91248,48,1901,19,"monthly issuance",177686,9,74.8,10045,1.565,135,6449.5000,900,30173.124242424223,99,0.81818,1,"no card",female,25,pass
66840,24,2785,15,"issuance after transaction",58796,5,51.9,9045,3.365,124,1862.0000,700,38819.32021276593,94,0.56383,2,"no card",female,57,pass
369000,60,6150,20,"weekly issuance",162580,6,72.8,9538,1.6600000000000001,111,5744.5000,700,48648.40116959062,171,0.56140,1,"no card",female,23,pass
331584,48,6908,19,"monthly issuance",95907,7,59.1,8388,2.675,87,1663.0000,400,42007.366336633684,101,0.81188,2,"no card",female,25,pass
468060,60,7801,15,"weekly issuance",112709,10,73.5,8369,2.05,117,2736.0000,400,59623.21607142851,112,0.52679,2,"no card",female,50,pass
100980,60,1683,12,"monthly issuance",387570,1,100,9897,1.78,140,18708.5000,600,35614.7442857143,70,0.70000,1,"no card",male,29,pass
187224,24,7801,16,"monthly issuance",114200,4,43.7,8403,5.73,105,2437.5000,-243.3,42084.31136363635,88,0.80682,1,"no card",male,47,fail
42816,12,3568,15,"monthly issuance",226122,4,62.6,8994,4.295,110,9440.0000,1100,17076.75647058824,85,0.70588,2,"no card",male,61,pass
230400,60,3840,14,"monthly issuance",228848,6,57.2,9893,4.404999999999999,96,5755.0000,20574,79500.53809523812,168,0.59524,1,"no card",male,36,pass
252060,60,4201,7,"monthly issuance",1204953,1,100,12541,0.36,167,92392.0000,900,57340.50819672133,61,0.72131,1,"no card",female,28,fail
84288,48,1756,14,"monthly issuance",45714,6,55.6,8843,3.21,113,853.0000,500,25727.382352941182,85,0.71765,1,"no card",female,40,pass
357840,48,7455,3,"monthly issuance",387570,1,100,9897,1.78,140,18708.5000,600,5350,2,1.00000,1,"no card",female,56,fail
196800,24,8200,6,"monthly issuance",112065,8,69.4,11277,1.345,127,5083.0000,300,58669.50434782607,23,0.52174,1,"no card",female,36,fail
262980,60,4383,12,"monthly issuance",53921,2,41.3,8598,3.0149999999999997,123,1736.0000,900,41729.61607142859,56,0.80357,1,"no card",female,30,pass
210384,48,4383,15,"monthly issuance",285387,7,89.9,10177,7.1899999999999995,81,9993.0000,300,45912.39999999998,59,0.66102,1,"no card",female,41,pass
91152,24,3798,15,"monthly issuance",105058,10,81,9272,3.01,118,4422.5000,400,44829.544155844145,77,0.61039,1,classic,male,53,pass
12540,12,1045,20,"monthly issuance",67298,7,43.8,8561,0.97,110,1078.0000,200,41922.04671052632,152,0.56579,2,classic,female,57,pass
102240,60,1704,19,"monthly issuance",109164,4,63.6,8757,3.665,96,2341.5000,900,29946.99523809522,126,0.72222,2,"no card",female,51,pass
76944,12,6412,17,"monthly issuance",1204953,1,100,12541,0.36,167,92392.0000,500,40141.795454545456,110,0.58182,1,"no card",female,40,pass
156096,36,4336,6,"weekly issuance",103347,7,67,9104,1.79,123,2326.5000,700,51641.833333333336,33,0.57576,1,"no card",male,45,pass
73056,48,1522,9,"monthly issuance",119895,4,89.9,10446,8.370000000000001,90,4845.0000,500,23255.149019607838,51,0.62745,2,"no card",male,24,pass
208128,48,4336,14,"monthly issuance",387570,1,100,9897,1.78,140,18708.5000,-1069.7,36369.975000000006,64,0.79688,1,"no card",male,42,fail
215616,48,4492,9,"monthly issuance",42821,3,48.4,8173,3.505,124,679.0000,-3424.6,21447.62459016394,61,0.70492,1,"no card",male,39,fail
24312,12,2026,15,"monthly issuance",93931,8,56.9,8427,1.33,107,1893.5000,1100,29380.839743589757,78,0.61538,1,"no card",female,38,pass
48624,24,2026,17,"monthly issuance",139012,10,61.9,8363,3.005,108,2681.5000,200,63857.23675213676,117,0.75214,1,"no card",male,33,pass
538500,60,8975,10,"monthly issuance",95616,6,51.4,9307,4.14,118,2828.0000,200,33687.85862068965,58,0.70690,1,"no card",male,34,pass
53076,12,4423,10,"monthly issuance",51428,4,52.7,8402,3.5549999999999997,120,1049.0000,500,33129.40307692308,65,0.73846,1,"no card",male,48,pass
187104,24,7796,4,"monthly issuance",226122,4,62.6,8994,4.295,110,9440.0000,300,66292.37199999999,25,0.84000,1,"no card",female,19,pass
87216,48,1817,20,"monthly issuance",145688,5,40.7,8544,1.5750000000000002,109,2812.5000,700,30847.149324324342,148,0.55405,1,"no card",female,41,pass
178500,60,2975,9,"monthly issuance",182027,7,56.4,8746,3.535,90,4394.0000,1000,21491.790625,64,0.60938,1,"no card",female,26,pass
309552,48,6449,7,"monthly issuance",226122,4,62.6,8994,4.295,110,9440.0000,700,56105.49999999998,35,0.45714,1,"no card",male,60,pass
22260,60,371,5,"monthly issuance",285387,7,89.9,10177,7.1899999999999995,81,9993.0000,700,23066.613333333335,15,0.73333,1,"no card",female,57,pass
284280,60,4738,18,"monthly issuance",114006,9,62.3,9065,4.925,123,4156.5000,300,64182.64148936171,94,0.62766,2,"no card",female,37,pass
189060,60,3151,6,"issuance after transaction",149893,6,67.4,9753,4.845,109,5568.0000,200,72242.8966666667,30,0.46667,1,"no card",female,36,pass
108720,60,1812,19,"monthly issuance",77963,4,51.5,8546,3.485,126,2880.0000,1000,50883.19687500001,64,0.70313,1,"no card",female,31,pass
188532,36,5237,21,"monthly issuance",285387,7,89.9,10177,7.1899999999999995,81,9993.0000,200,64193.40472972972,148,0.87162,1,"no card",female,22,pass
204000,60,3400,12,"monthly issuance",77917,5,53.5,8390,2.585,132,2101.0000,400,37809.39846153844,65,0.52308,1,"no card",male,51,pass
98184,24,4091,3,"monthly issuance",114200,4,43.7,8403,5.73,105,2437.5000,500,41660.392857142855,14,0.28571,1,"no card",female,49,pass
253200,60,4220,19,"monthly issuance",139012,10,61.9,8363,3.005,108,2681.5000,1000,34086.208955223876,134,0.52985,1,"no card",male,61,pass
253200,60,4220,8,"weekly issuance",228848,6,57.2,9893,4.404999999999999,96,5755.0000,800,47302.54634146341,41,0.80488,1,"no card",female,43,pass
50976,36,1416,16,"monthly issuance",77917,5,53.5,8390,2.585,132,2101.0000,400,28050.29918699189,123,0.56098,1,"no card",male,18,pass
385104,48,8023,16,"monthly issuance",387570,1,100,9897,1.78,140,18708.5000,1000,47433.4205882353,102,0.54902,1,"no card",female,40,pass
192552,24,8023,14,"weekly issuance",70646,4,58.4,8547,3.145,120,1552.5000,800,23979.01176470588,51,0.72549,1,"no card",female,30,fail
149040,48,3105,9,"monthly issuance",75637,7,36.5,9622,0.52,154,3502.0000,200,36845.588888888895,54,0.57407,1,"no card",female,25,pass
128544,24,5356,9,"issuance after transaction",323870,1,100,10673,5.095000000000001,100,18564.5000,200,40526.454999999994,60,0.50000,1,"no card",female,45,pass
35904,48,748,9,"monthly issuance",228848,6,57.2,9893,4.404999999999999,96,5755.0000,900,22981.05593220339,59,0.55932,1,"no card",male,51,pass
99696,48,2077,21,"monthly issuance",88757,10,61.7,8554,2.575,113,2020.0000,-974.6,46341.293518518505,108,0.87037,1,"no card",female,23,fail
182640,48,3805,7,"monthly issuance",145688,5,40.7,8544,1.5750000000000002,109,2812.5000,600,37802.23,40,0.45000,1,"no card",female,54,pass
148140,36,4115,20,"weekly issuance",53921,2,41.3,8598,3.0149999999999997,123,1736.0000,1000,40688.34830508477,118,0.66102,1,"no card",female,35,pass
71064,36,1974,13,"monthly issuance",85852,4,59.8,8965,7.655,104,2737.5000,700,34577.30232558139,86,0.65116,1,"no card",female,48,pass
74772,36,2077,12,"issuance after transaction",157042,9,33.9,8743,2.1550000000000002,111,3776.5000,500,24872.139436619716,71,0.52113,1,"no card",male,36,pass
52512,12,4376,17,"monthly issuance",157042,9,33.9,8743,2.1550000000000002,111,3776.5000,1000,59684.298850574734,87,0.85057,1,"no card",male,53,pass
185544,36,5154,9,"monthly issuance",124605,8,46,8772,4.835000000000001,126,3006.0000,200,27729.917142857146,35,0.60000,1,"no card",male,59,pass
23520,12,1960,11,"monthly issuance",107911,7,50.9,8240,3.045,99,1876.5000,500,25967.495238095245,63,0.42857,2,"no card",male,55,pass
389136,48,8107,11,"monthly issuance",107911,7,50.9,8240,3.045,99,1876.5000,700,59749.883870967744,62,0.62903,1,"no card",male,30,pass
45336,24,1889,16,"monthly issuance",51428,4,52.7,8402,3.5549999999999997,120,1049.0000,800,48152.95333333335,90,0.70000,1,"no card",male,38,pass
125472,24,5228,12,"monthly issuance",125236,5,87.7,9675,7.055,100,5256.5000,800,48989.18247422682,97,0.75258,1,"no card",male,57,pass
125472,24,5228,9,"issuance after transaction",51428,4,52.7,8402,3.5549999999999997,120,1049.0000,800,71376.0441558442,77,0.77922,2,"no card",female,51,pass
100080,48,2085,3,"monthly issuance",114200,4,43.7,8403,5.73,105,2437.5000,300,22604.34,10,0.40000,1,"no card",female,31,pass
123300,36,3425,18,"weekly issuance",118650,3,85.6,9832,3.9000000000000004,114,5958.0000,800,55026.62000000002,90,0.82222,1,classic,female,52,pass
165780,60,2763,20,"weekly issuance",145688,5,40.7,8544,1.5750000000000002,109,2812.5000,413.3,45342.20442477874,113,0.68142,1,"no card",male,47,pass
164052,36,4557,12,"issuance after transaction",51313,4,59.2,8930,3.8600000000000003,108,1390.0000,-2564.7,41752.161538461536,65,0.81538,1,"no card",female,19,fail
191088,48,3981,13,"monthly issuance",102609,6,52,8187,5.140000000000001,94,2128.5000,500,32688.03333333334,78,0.83333,1,"no card",male,34,pass
194256,24,8094,22,"monthly issuance",42821,3,48.4,8173,3.505,124,679.0000,400,51370.48059701493,134,0.84328,1,"no card",male,29,pass
388512,48,8094,21,"issuance after transaction",42821,3,48.4,8173,3.505,124,679.0000,-2838.8,21371.320000000003,120,0.82500,1,"no card",female,27,fail
78936,12,6578,8,"monthly issuance",1204953,1,100,12541,0.36,167,92392.0000,900,25900.319607843143,51,0.64706,1,"no card",female,37,pass
64224,24,2676,14,"weekly issuance",77963,4,51.5,8546,3.485,126,2880.0000,900,45735.83829787234,47,0.61702,2,"no card",male,60,pass
189792,48,3954,20,"monthly issuance",162580,6,72.8,9538,1.6600000000000001,111,5744.5000,500,34760.228906249984,128,0.55469,1,"no card",male,58,pass
141948,36,3943,3,"monthly issuance",228848,6,57.2,9893,4.404999999999999,96,5755.0000,800,32592.680000000004,10,0.70000,1,"no card",female,45,pass
172272,24,7178,10,"monthly issuance",161227,10,69.7,8678,5.75,102,4787.5000,300,61146.523636363636,55,0.50909,1,"no card",male,55,pass
248148,36,6893,16,"monthly issuance",72541,8,36.9,8594,1.815,112,1552.5000,600,36063.78833333336,120,0.60000,1,"no card",female,54,pass
30060,60,501,21,"monthly issuance",72541,8,36.9,8594,1.815,112,1552.5000,500,37213.40752688173,186,0.47849,1,classic,male,44,pass
202788,36,5633,12,"weekly issuance",51313,4,59.2,8930,3.8600000000000003,108,1390.0000,1100,57124.26835443036,79,0.56962,1,"no card",female,42,pass
43200,24,1800,10,"monthly issuance",159617,9,85.2,9198,3.805,131,5964.0000,400,36159.705555555556,54,0.74074,1,"no card",female,49,pass
96396,12,8033,3,"weekly issuance",94812,10,81.8,9650,3.525,100,2894.5000,1100,12250,4,1.00000,1,"no card",female,45,fail
165960,36,4610,4,"monthly issuance",112709,10,73.5,8369,2.05,117,2736.0000,700,52083.859459459454,37,0.64865,1,"no card",male,24,pass
385584,48,8033,16,"monthly issuance",72541,8,36.9,8594,1.815,112,1552.5000,400,69656.36923076923,78,0.84615,2,"no card",male,23,pass
239460,60,3991,9,"monthly issuance",128118,8,85.3,9317,6.78,97,6910.5000,300,40061.58043478261,46,0.45652,1,"no card",female,51,pass
143676,36,3991,14,"weekly issuance",157042,9,33.9,8743,2.1550000000000002,111,3776.5000,700,28370.441666666666,72,0.50000,1,"no card",male,45,pass
105804,36,2939,6,"monthly issuance",107870,6,58,8754,4.07,137,3836.0000,1000,41297.48,25,0.48000,1,"no card",female,53,pass
396120,60,6602,18,"weekly issuance",51428,4,52.7,8402,3.5549999999999997,120,1049.0000,500,58855.27789473684,95,0.63158,1,"no card",female,46,pass
37944,36,1054,19,"monthly issuance",1204953,1,100,12541,0.36,167,92392.0000,500,61295.96915887852,107,0.76636,1,classic,female,31,pass
209040,24,8710,11,"monthly issuance",1204953,1,100,12541,0.36,167,92392.0000,900,44982.422727272715,66,0.62121,1,"no card",male,19,pass
162468,36,4513,4,"monthly issuance",105058,10,81,9272,3.01,118,4422.5000,700,51279.553333333344,15,0.40000,2,"no card",female,38,pass
57360,12,4780,10,"monthly issuance",77963,4,51.5,8546,3.485,126,2880.0000,-5851.2,36887.15600000001,75,0.38667,1,"no card",male,39,fail
44952,24,1873,14,"monthly issuance",1204953,1,100,12541,0.36,167,92392.0000,1000,51453.801123595505,89,0.64045,1,"no card",male,27,pass
55632,24,2318,21,"monthly issuance",285387,7,89.9,10177,7.1899999999999995,81,9993.0000,500,29645.32017543858,114,0.63158,1,"no card",male,49,pass
249312,48,5194,14,"weekly issuance",170449,1,100,10787,2.865,131,6151.0000,900,35914.85499999998,60,0.68333,1,"no card",male,40,pass
205200,36,5700,17,"weekly issuance",161954,8,48,8720,4.115,116,3690.0000,900,58336.311627907,129,0.43411,1,"no card",female,31,pass
68400,12,5700,5,"monthly issuance",228848,6,57.2,9893,4.404999999999999,96,5755.0000,800,31793.735714285718,14,0.64286,1,"no card",female,18,fail
290820,60,4847,11,"monthly issuance",95616,6,51.4,9307,4.14,118,2828.0000,900,44617.08095238094,84,0.59524,1,"no card",male,60,pass
38520,12,3210,19,"monthly issuance",95907,7,59.1,8388,2.675,87,1663.0000,900,20231.313157894736,114,0.69298,1,"no card",male,57,pass
176328,36,4898,20,"monthly issuance",107911,7,50.9,8240,3.045,99,1876.5000,400,47164.91871345024,171,0.39766,2,"no card",male,54,pass
293880,60,4898,17,"weekly issuance",197099,10,74.7,9624,1.955,145,4374.5000,-2804.8,53227.144444444435,90,0.84444,1,"no card",female,22,fail
271260,60,4521,15,"monthly issuance",114006,9,62.3,9065,4.925,123,4156.5000,700,14873.378082191783,73,0.67123,1,"no card",male,27,pass
86184,12,7182,7,"monthly issuance",285387,7,89.9,10177,7.1899999999999995,81,9993.0000,300,60273.67857142857,42,0.50000,1,"no card",female,55,pass
83628,36,2323,7,"monthly issuance",387570,1,100,9897,1.78,140,18708.5000,500,29052.608823529416,34,0.55882,1,"no card",female,19,pass
44640,24,1860,13,"monthly issuance",108871,6,62.1,8444,3.3550000000000004,106,2450.0000,600,41154.279104477595,67,0.80597,1,"no card",male,41,pass
214596,36,5961,4,"monthly issuance",323870,1,100,10673,5.095000000000001,100,18564.5000,400,62852.91764705884,17,0.47059,2,"no card",male,60,pass
101520,12,8460,8,"monthly issuance",1204953,1,100,12541,0.36,167,92392.0000,400,26449.092105263153,38,0.68421,1,"no card",female,19,pass
92400,12,7700,15,"monthly issuance",285387,7,89.9,10177,7.1899999999999995,81,9993.0000,1000,42291.185576923104,104,0.64423,1,classic,female,23,pass
22932,36,637,7,"monthly issuance",139012,10,61.9,8363,3.005,108,2681.5000,300,42536.88536585365,41,0.63415,1,"no card",female,43,pass
23328,12,1944,6,"monthly issuance",95907,7,59.1,8388,2.675,87,1663.0000,1000,40311.63703703704,27,0.70370,2,"no card",female,33,pass
71460,36,1985,7,"monthly issuance",1204953,1,100,12541,0.36,167,92392.0000,700,49220.980645161304,31,0.67742,2,"no card",female,16,pass
61560,12,5130,10,"weekly issuance",51313,4,59.2,8930,3.8600000000000003,108,1390.0000,200,32967.71267605635,71,0.42254,1,"no card",male,53,pass
78600,24,3275,4,"monthly issuance",121947,11,70.5,8541,2.74,131,3667.5000,800,42902.40714285714,14,0.35714,1,"no card",male,41,pass
170256,24,7094,14,"monthly issuance",93931,8,56.9,8427,1.33,107,1893.5000,200,40091.18311688309,77,0.70130,1,"no card",female,29,pass
299088,36,8308,13,"monthly issuance",106054,6,63.1,8110,6.16,109,3161.5000,500,51992.85476190479,126,0.70635,1,"no card",female,27,fail
53472,12,4456,20,"weekly issuance",81344,6,55.3,8899,3.68,149,2737.0000,300,64144.50223880594,134,0.85075,2,"no card",male,57,pass
182040,60,3034,11,"monthly issuance",51428,4,52.7,8402,3.5549999999999997,120,1049.0000,600,67475.90169491527,59,0.61017,2,"no card",female,44,pass
92976,24,3874,18,"weekly issuance",51313,4,59.2,8930,3.8600000000000003,108,1390.0000,300,50436.46605504589,109,0.75229,2,"no card",female,25,pass
185952,48,3874,12,"monthly issuance",125236,5,87.7,9675,7.055,100,5256.5000,700,50113.19411764704,34,0.67647,1,"no card",male,50,pass
139464,36,3874,12,"monthly issuance",182027,7,56.4,8746,3.535,90,4394.0000,300,31532.74838709678,31,0.61290,1,"no card",male,38,fail
347952,48,7249,21,"monthly issuance",45714,6,55.6,8843,3.21,113,853.0000,300,54157.19416666664,120,0.84167,1,"no card",female,30,pass
415800,60,6930,9,"monthly issuance",1204953,1,100,12541,0.36,167,92392.0000,700,44265.272972972976,37,0.78378,1,"no card",female,47,pass
72504,24,3021,10,"monthly issuance",122603,8,80,8991,1.6999999999999997,128,5235.5000,600,45374.642424242375,99,0.53535,1,"no card",female,46,pass
230220,36,6395,21,"monthly issuance",53921,2,41.3,8598,3.0149999999999997,123,1736.0000,200,64923.162745098016,153,0.83660,1,classic,male,48,pass
20196,36,561,17,"monthly issuance",1204953,1,100,12541,0.36,167,92392.0000,200,52636.59895833334,96,0.69792,1,"no card",male,25,pass
314688,48,6556,19,"weekly issuance",88884,5,46.7,8507,1.76,132,2416.5000,600,53094.3644859813,107,0.63551,1,classic,male,24,pass
46320,24,1930,17,"monthly issuance",133777,11,84.7,8705,6.68,116,4754.5000,900,43657.813483146136,178,0.54494,1,"no card",male,17,pass
48312,24,2013,16,"monthly issuance",102609,6,52,8187,5.140000000000001,94,2128.5000,600,31897.432978723416,94,0.53191,1,"no card",male,38,pass
541200,60,9020,19,"monthly issuance",285387,7,89.9,10177,7.1899999999999995,81,9993.0000,-17030.4,12006.396551724134,174,0.45977,1,"no card",female,50,fail
99336,24,4139,10,"monthly issuance",228848,6,57.2,9893,4.404999999999999,96,5755.0000,300,27019.571153846155,52,0.69231,1,"no card",female,15,pass
199680,60,3328,13,"monthly issuance",95616,6,51.4,9307,4.14,118,2828.0000,500,33658.617567567584,74,0.52703,1,"no card",male,45,pass
159744,48,3328,9,"monthly issuance",70699,4,65.3,8968,3.09,131,1825.0000,600,56388.81071428572,28,0.71429,1,"no card",female,24,pass
49440,60,824,15,"monthly issuance",285387,7,89.9,10177,7.1899999999999995,81,9993.0000,300,47798.86545454544,110,0.58182,1,"no card",female,29,pass
156672,36,4352,13,"monthly issuance",72541,8,36.9,8594,1.815,112,1552.5000,500,22927.502666666667,75,0.72000,1,"no card",female,38,pass
17952,12,1496,11,"monthly issuance",133777,11,84.7,8705,6.68,116,4754.5000,500,28597.886206896543,58,0.68966,1,"no card",female,44,pass
95808,12,7984,14,"monthly issuance",122603,8,80,8991,1.6999999999999997,128,5235.5000,900,59701.78666666665,90,0.85556,1,"no card",male,54,pass
293160,60,4886,17,"monthly issuance",139012,10,61.9,8363,3.005,108,2681.5000,800,49740.623711340224,97,0.83505,1,"no card",female,19,pass
200976,48,4187,7,"monthly issuance",114200,4,43.7,8403,5.73,105,2437.5000,600,47938.06571428572,35,0.48571,1,"no card",male,41,pass
24516,12,2043,10,"monthly issuance",1204953,1,100,12541,0.36,167,92392.0000,200,55582.226027397286,73,0.86301,1,"no card",male,35,pass
165120,60,2752,19,"monthly issuance",121947,11,70.5,8541,2.74,131,3667.5000,1100,24377.371551724125,116,0.70690,2,"no card",female,45,pass
466608,48,9721,18,"monthly issuance",77963,4,51.5,8546,3.485,126,2880.0000,300,36161.02156862743,102,0.82353,1,"no card",female,51,pass
428784,48,8933,14,"monthly issuance",1204953,1,100,12541,0.36,167,92392.0000,1100,22133.735454545484,110,0.57273,2,"no card",male,61,pass
360000,48,7500,19,"issuance after transaction",197099,10,74.7,9624,1.955,145,4374.5000,600,51149.6551470588,136,0.59559,1,"no card",female,23,pass
89340,60,1489,8,"monthly issuance",110643,4,51.9,8441,3.9650000000000003,115,2065.5000,500,39644.76363636365,44,0.68182,2,"no card",female,24,pass
136344,24,5681,21,"monthly issuance",1204953,1,100,12541,0.36,167,92392.0000,300,31673.896923076936,130,0.71538,2,"no card",female,33,pass
91632,12,7636,12,"monthly issuance",94725,6,63.4,9920,2.565,130,4567.5000,700,40976.94285714286,70,0.71429,2,"no card",female,31,pass
231168,48,4816,20,"monthly issuance",182027,7,56.4,8746,3.535,90,4394.0000,300,54598.838888888866,144,0.50000,1,junior,female,20,pass
93888,36,2608,5,"issuance after transaction",86513,5,50.5,8288,4.154999999999999,110,1511.0000,600,37510.494736842105,19,0.47368,1,"no card",female,43,pass
93888,36,2608,10,"weekly issuance",88884,5,46.7,8507,1.76,132,2416.5000,200,69554.29230769232,91,0.69231,2,"no card",male,61,pass
69624,36,1934,19,"monthly issuance",139012,10,61.9,8363,3.005,108,2681.5000,1100,49145.7075862069,145,0.52414,1,classic,male,51,pass
156420,60,2607,11,"weekly issuance",139012,10,61.9,8363,3.005,108,2681.5000,400,49909.15555555555,63,0.71429,1,"no card",male,41,pass
66432,24,2768,19,"monthly issuance",170449,1,100,10787,2.865,131,6151.0000,700,33039.89252336446,107,0.51402,2,"no card",female,26,pass
335280,48,6985,15,"weekly issuance",161954,8,48,8720,4.115,116,3690.0000,500,43629.43608247425,97,0.48454,1,"no card",female,44,pass
111384,24,4641,15,"monthly issuance",51428,4,52.7,8402,3.5549999999999997,120,1049.0000,500,65097.22434210523,152,0.71053,1,"no card",male,27,pass
50460,60,841,8,"monthly issuance",75637,7,36.5,9622,0.52,154,3502.0000,800,37570.62790697674,43,0.69767,1,"no card",female,46,pass
268320,60,4472,8,"monthly issuance",1204953,1,100,12541,0.36,167,92392.0000,200,24411.29423076923,52,0.65385,1,"no card",female,44,pass
437460,60,7291,10,"monthly issuance",228848,6,57.2,9893,4.404999999999999,96,5755.0000,900,48935.435849056594,53,0.45283,1,"no card",female,45,pass
